zelfstandig naamwoord	zelfstandige naamwoorden
bromvlieg	bromvliegen
slot	
slot	
brilslang	brilslangen
koraal	koralen
astma	astma's
esculaap	esculapen
astronaut	astronauten
bel	bellen
bizon	bizons
savanne	savannen
carnivoor	carnivoren
boomkruiper	boomkruipers
condor	condors
boomklever	boomklevers
ecologie	
buideldier	buideldieren
bosuil	bosuilen
dierkunde	
aalscholver	aalscholvers
emoe	emoes
oom	ooms
koplamp	koplampen
enzym	enzymen
dekhengst	dekhengsten
blauw	blauwen
zeeleeuw	zeeleeuwen
tuin	tuinen
edelhert	edelherten
mandag	mandagen
eendagsvlieg	eendagsvliegen
lid	leden
gnoe	gnoes
kikker	kikkers
bruinvis	bruinvissen
zeearend	zeearenden
eidereend	eidereenden
dromedaris	dromedarissen
duif	duiven
koninkrijk	koninkrijken
gifslang	gifslangen
fuut	futen
coloradokever	coloradokevers
damhert	damherten
kasboek	kasboeken
citroenvlinder	citroenvlinders
vissersboot	vissersboten
vest	vesten
vest	vesten
everzwijn	everzwijnen
gems	gemzen
bruidegom	bruidegoms
ekster	eksters
boekbinder	boekbinders
vlot	vlotten
boegspriet	boegsprieten
bul	bullen
bul	bullen
bul	bullen
tenor	tenoren
dinosaurus	dinosaurussen
gans	ganzen
eland	elanden
goudhaantje	goudhaantjes
fazant	fazanten
abba	abba's
gordeldier	gordeldieren
buffel	buffels
kurk	kurken
kurk	
makelaar	makelaars
ijdelheid	ijdelheden
forel	forellen
virus	virussen
tabak	tabakken
bruid	bruiden
aandacht	
bolwerk	bolwerken
gaai	gaaien
dagvaarding	dagvaardingen
gazelle	gazellen
aankomst	aankomsten
zeeolifant	zeeolifanten
vloot	vloten
zeewind	zeewinden
plantkunde	
egel	egels
leesboek	leesboeken
rekenboek	rekenboeken
vliegende vis	vliegende vissen
dolfijn	
boei	boeien
oorlogsschip	oorlogsschepen
stoomschip	stoomschepen
mandoline	mandolines
huis	huizen
zeespiegel	zeespiegels
zeerob	zeerobben
grootboek	grootboeken
stoffer	stoffers
parkour	
bar	bars
krop	[1,2]: kroppen
buizerd	buizerds
vrachtschip	vrachtschepen
zeelucht	zeeluchten
eend	eenden
gors	
gors	
geluidsboxenfabriekje	
mens	mensen
wolk	wolken
vlieg	vliegen
heremietkreeft	heremietkreeften
knoop	knopen
huiszwaluw	huiszwaluwen
hinde	hinden
vlag	vlaggen
herbivoor	herbivoren
zestig	
hoefdier	hoefdieren
houtworm	houtwormen
leerboek	leerboeken
hengel	hengels
havik	haviken
vasten	
bijenkoningin	bijenkoninginnen
haas	hazen
